quote_en,quote_ja,author
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"「私たちが作り上げた世界は、私たちの思考の過程です。
私たちの思考を変えずに世界を変えることはできません。
」",Albert Einstein
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","「ハリー、私たちの選択こそが、私たちの能力よりもはるかに本当の私たちを示すのです。
」",J.K. Rowling
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"「人生を生きる方法は2つしかありません。
1つは、何も奇跡ではないかのように生きることです。
もう1つは、すべてが奇跡であるかのように生きることです。
」",Albert Einstein
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","「紳士であろうと淑女であろうと、良い小説を楽しめない人は、耐えられないほど愚かであるに違いない。
」",Jane Austen
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","「不完全さは美しさであり、狂気は天才であり、絶対に退屈であるよりは絶対にばかばかしいほうが良いのです。
」",Marilyn Monroe
“Try not to become a man of success. Rather become a man of value.”,"「成功者になろうとするのではなく、価値のある人間になりなさい。
」",Albert Einstein
“It is better to be hated for what you are than to be loved for what you are not.”,"「ありのままの自分で愛されるよりも、ありのままの自分で嫌われるほうがいい。
」",André Gide
"“I have not failed. I've just found 10,000 ways that won't work.”","「私は失敗したわけではありません。
うまくいかない方法を 10,000 個見つけただけです。
」",Thomas A. Edison
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,"「女性はティーバッグのようなものです。
お湯に入れるまでは、その強さはわかりません。
」",Eleanor Roosevelt
"“A day without sunshine is like, you know, night.”","「太陽の光がない日は、夜のようなものです。
」",Steve Martin
